title,location,price,bedrooms,bathrooms,toilets,property_type,url
Well Maintained 5 Bedroom Detached,"Old Ikoyi, Ikoyi, Lagos","₦65,000,000 per annum",5,5,5,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/old-ikoyi/3303996-well-maintained-5-bedroom-detached
Luxuriously Furnished 2 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","₦18,000,000 per annum",2,2,2,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304004-luxuriously-furnished-2-bedroom-apartment
3-bedroom Apartment,"Ikoyi, Lagos","$75,000 per annum 
approx. ₦106,579,528",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3289505-3-bedroom-apartment
4-bedroom Terrace Duplex,"Ikoyi, Lagos","₦100,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3289499-4-bedroom-terrace-duplex
3-bedroom Apartment With Bq,"Ikoyi, Lagos","₦45,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3235205-3-bedroom-apartment-with-bq
3-bedroom Maisonette,"Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3213242-3-bedroom-maisonette
4-bedroom Apartment,"Ikoyi, Lagos","₦40,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3212588-4-bedroom-apartment
*5* *bedroom*detached* *house+ 7 Rooms Bq In Ikoyi,"Off Kingsway Road* *ikoyi*, Ikoyi, Lagos","₦200,000,000 per annum",12,15,15,12 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/3303898-5-bedroomdetached-house-7-rooms-bq-in-ikoyi
Evergreen 3 Bedroom Apartment +bq+pool+gym Etc,"Old Ikoyi, Ikoyi, Lagos","₦27,500,000 per annum",3,2,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3303905-evergreen-3-bedroom-apartment-bqpoolgym-etc
Fully Furnished Three Bedroom High Rise,"Ikoyi, Lagos","₦60,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3303906-fully-furnished-three-bedroom-high-rise
4-bedroom Terrace Duplex,"Ikoyi, Lagos","₦25,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3190509-4-bedroom-terrace-duplex
3 Bedroom Penthouse Apartment &  Bq,"Ikoyi, Lagos","₦30,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3185265-3-bedroom-penthouse-apartment-bq
3 Bed Apartment (1st Floor) + Pool & Gym Available,"Ikoyi, Lagos","₦35,000,000 per annum",3,0,0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3303946-3-bed-apartment-1st-floor-pool-gym-available
