title,location,price,bedrooms,bathrooms,toilets,property_type,url
4 bedroom semi-detached duplex for rent,"Chevron, Lekki, Lagos","₦12,000,000per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/3303258-luxury-4bedroom
4 bedroom detached duplex for rent,"Ikota, Lekki, Lagos","₦17,000,000per annum",4,4,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikota/3303255-luxury-4-bedroom
4 bedroom terraced duplex for rent,"Orchid, Lekki, Lagos","₦8,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/3303253-luxury-4-bedroom
3 bedroom flat / apartment for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦16,000,000per annum",3,0,0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303242-newly-built-fully-serviced-3-bedroom-with-gym-24-hours-lightelevator
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3303240-luxury-furnished-2-bedroom-apartment-with-and-pool
Self contain (single rooms) for rent,"Kusenla Rd, Lekki Phase 1, Lekki, Lagos","₦1,200,000per annum",0,1,1,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/lekki/lekki-phase-1/3303238-bq-room-self-contain-with-personal-kitchen
5 bedroom detached duplex for rent,"Ikate, Lekki, Lagos","₦25,000,000per annum",5,0,0,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/3303235-spacious-5-bedroom-fully-detached-duplex-with-bq
2 bedroom flat / apartment for rent,"By House On The Rock Church, Lekki Phase 1, Lekki, Lagos","₦7,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303231-fully-serviced-2-bedroom-flat
2 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3303230-4-units-of-2-bedroom-penthouse-with-gym-and-pool
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦16,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3303221-spacious-2-bedroom-apartment-with-elevator-and-pool
5 bedroom detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","₦35,000,000per annum",5,0,0,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3303217-newly-built-luxury-5-bedroom-fully-detached-duplex-with-bq-all-ensuite
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3303206-spacious-3-bedroom-apartment-with-pool-bq-and-elevator
